date,day,holiday,holiday_type
2022-08-11,Thursday,Raksha Bandhan (Rakhi),Restricted Holiday
2022-08-15,Monday,Independence Day,Gazetted Holiday
2022-08-16,Tuesday,Parsi New Year,Restricted Holiday
2022-08-18,Thursday,Janmashtami (Smarta),Restricted Holiday
2022-08-19,Friday,Janmashtami,Gazetted Holiday
2022-08-31,Wednesday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2022-09-08,Thursday,Onam,Restricted Holiday
2022-09-23,Friday,September Equinox,Season
2022-09-26,Monday,First Day of Sharad Navratri,Observance
2022-10-01,Saturday,First Day of Durga Puja Festivities,Observance
2022-10-02,Sunday,Mahatma Gandhi Jayanti,Gazetted Holiday
2022-10-02,Sunday,Maha Saptami,Restricted Holiday
2022-10-03,Monday,Maha Ashtami,Restricted Holiday
2022-10-04,Tuesday,Maha Navami,Restricted Holiday
2022-10-05,Wednesday,Dussehra,Gazetted Holiday
2022-10-09,Sunday,Maharishi Valmiki Jayanti,Restricted Holiday
2022-10-09,Sunday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2022-10-13,Thursday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2022-10-24,Monday,Naraka Chaturdasi,Restricted Holiday
2022-10-24,Monday,Diwali/Deepavali,Gazetted Holiday
2022-10-25,Tuesday,Govardhan Puja,Restricted Holiday
2022-10-26,Wednesday,Bhai Duj,Restricted Holiday
2022-10-30,Sunday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2022-10-31,Monday,Halloween,Observance
2022-11-08,Tuesday,Guru Nanak Jayanti,Gazetted Holiday
2022-11-24,Thursday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2022-12-19,Monday,First Day of Hanukkah,Observance
2022-12-22,Thursday,December Solstice,Season
2022-12-24,Saturday,Christmas Eve,Restricted Holiday
2022-12-25,Sunday,Christmas,Gazetted Holiday
2022-12-26,Monday,Last day of Hanukkah,Observance
2022-12-29,Thursday,Guru Govind Singh Jayanti,Restricted Holiday
2022-12-31,Saturday,New Year's Eve,Observance
2023-01-01,Sunday,New Year's Day,Restricted
2023-01-12,Thursday,Swami Vivekanand Jayanti,Gazetted
2023-01-13,Friday,Lohri,Restricted
2023-01-14,Saturday,Makar Sankranti/ Magha Bihu/ Pongal,Restricted
2023-01-26,Thursday,Republic Day,Gazetted
2023-01-26,Thursday,Basant Panchami,Restricted
2023-02-05,Sunday,Hazarat Ali's Birthday,Restricted
2023-02-05,Sunday,Guru Ravidas's Birthday,Restricted
2023-02-15,Wednesday,Swami Dayananda Saraswati Jayanti,Restricted
2023-02-18,Saturday,Maha Shivratri,Gazetted
2023-02-19,Saturday,Shivaji Yatra,Restricted
2023-03-07,Tuesday,Doli Yatra,Restricted
2023-03-07,Tuesday,Holika Dahan,Restricted
2023-03-08,Wednesday,Holi,Restricted
2023-03-18,Friday,Holi,Gazetted
2023-03-22,Saturday,Chaitra Sukladi/ Gudi Padava/ Ugadi/ Cheti Chand,Restricted
2023-04-04,Tuesday,Mahavir Jayanti,Gazetted
2023-04-07,Friday,Good Friday,Gazetted
2023-04-14,Friday,Ambedkar Jayanti,Gazetted
2023-04-21,Friday,Jamat-Ul-Vida,Restricted
2023-04-22,Saturday,Eid-ul-Fitr,Restricted
2023-04-29,Friday,Jamat-Ul-Vida,Restricted
2023-05-09,Tuesday,Guru Rabindranath's Birthday,Restricted
2023-06-20,Tuesday,Rath Yatra,Restricted
2023-06-29,Thursday,Eid-ul-Adha (Bakrid),Gazetted
2023-07-29,Saturday,Muharram,Gazetted
2023-08-15,Tuesday,Independence Day,Gazetted
2023-08-20,Sunday,Vinayak Chaturthi,Restricted
2023-08-30,Wednesday,Rakshabandhan,Restricted
2023-08-18,Thursday,Janmashtami (Smarta),Restricted
2023-08-19,Friday,Janmashtami,Gazetted
2023-08-31,Thursday,Vinayaka Chaturthi/ Ganesh Chaturthi,Restricted
2023-09-06,Wednesday,Janmashtami,Restricted
2023-09-19,Tuesday,Ganesh Chaturthi,Restricted
2023-09-28,Thursday,Milad-Un-Nabi,Restricted
2023-10-02,Monday,Mahatma Gandhi's Birthday,Gazetted
2023-10-23,Monday,Mahanavmi,Restricted
2023-10-24,Tuesday,Dusshera,Restricted
2023-10-28,Saturday,Maharishi Valmiki Jayanti,Restricted
2023-11-01,Wednesday,Karva Chauth,Restricted
2023-11-01,Wednesday,Kannada Rajyotsav,Gazetted
2023-11-12,Sunday,Diwali,Gazetted
2023-11-13,Monday,Govardhan Puja,Gazetted
2023-11-14,Tuesday,Bhai Dooj,Gazetted
2023-11-19,Sunday,Chhath Puja,Gazetted
2023-11-27,Monday,Guru Nanak Jayanti,Gazetted
2023-12-24,Sunday,Christmas Eve,Restricted
2023-12-25,Monday,Christmas Day,Gazetted
2023-12-29,Thursday,Guru Gobind Singh's Birthday,Restricted
